hgnc,hgncMatch
ARF5,ENST00000000233
M6PR,ENST00000000412
ESRRA,ENST00000405666
FKBP4,ENST00000001008
CYP26B1,ENST00000001146
NDUFAF7,ENST00000002125
FUCA2,ENST00000002165
DBNDD1,ENST00000304733
HS3ST1,ENST00000002596
SEMA3F,ENST00000002829
CFTR,ENST00000003084
CYP51A1,ENST00000003100
USP28,ENST00000003302
STPG1,ENST00000374409
NIPAL3,ENST00000374399
TMEM176A,ENST00000484928
SLC7A2,ENST00000004531
CCL18,ENST00000004921
SENP1,ENST00000004980
HSPB6,ENST00000592984
ZNF195,ENST00000399602
PDK4,ENST00000005178
CCL26,ENST00000394905
USH1C,ENST00000005226
RALA,ENST00000005257
BCAP29,ENST00000379119
BAIAP2L1,ENST00000005260
CACNG3,ENST00000005284
TMEM132A,ENST00000005286
DVL2,ENST00000005340
GGCT,ENST00000275428
RPAP3,ENST00000005386
IFRD1,ENST00000403825
UPP2,ENST00000605860
PRSS21,ENST00000005995
HOXA11,ENST00000006015
CX3CL1,ENST00000006053
COPZ2,
PRR5,ENST00000403581
TRAPPC6A,ENST00000006275
SPATA20,ENST00000006658
CEACAM7,ENST00000006724
CD79B,ENST00000392795
RHBDD2,ENST00000006777
KDM7A,ENST00000397560
RPUSD1,ENST00000561734
TSR3,ENST00000007390
OSBPL7,ENST00000007414
ARHGAP33,ENST00000314737
NDUFAB1,ENST00000570319
ALDH3B1,
DLX6,ENST00000518156
YBX2,ENST00000007699
PDK2,ENST00000503176
ITGA3,ENST00000007722
KRT33A,ENST00000007735
LRRC23,ENST00000007969
IL32,ENST00000525643
TFAP2D,ENST00000008391
SPRTN,ENST00000295050
CRY1,ENST00000008527
MAPK8IP2,
PGLYRP1,ENST00000008938
STARD3NL,ENST00000009041
CAMK1G,ENST00000009105
CD9,ENST00000382518
CD74,ENST00000009530
RPS20,ENST00000519807
DYRK4,ENST00000540757
FAM76A,ENST00000010299
TRAF3IP3,ENST00000367024
MGST1,ENST00000396209
CPA1,ENST00000011292
SYPL1,ENST00000011473
RANBP9,ENST00000011619
CD4,ENST00000011653
PLEKHG6,ENST00000396988
SS18L2,ENST00000447630
VPS13D,ENST00000358136
TSPAN9,ENST00000011898
CYP4F2,ENST00000221700
QPCTL,ENST00000012049
HIVEP2,ENST00000367603
PPP5C,ENST00000012443
NME1,ENST00000336097
UBR7,ENST00000013070
MAP4K5,
INMT,ENST00000013222
ERCC1,ENST00000013807
ABHD5,ENST00000458276
GPRC5A,ENST00000014914
HEBP1,ENST00000014930
DNASE1L1,ENST00000369809
COX15,ENST00000016171
MS4A12,ENST00000016913
XYLT2,ENST00000017003
FTSJ1,ENST00000348411
SCTR,ENST00000019103
RALBP1,ENST00000019317
PSD,ENST00000020673
SYT13,ENST00000020926
SNAI2,ENST00000396822
VDAC3,ENST00000521158
SLC7A9,ENST00000023064
GABRA1,ENST00000428797
RTFDC1,ENST00000023939
SLC45A4,ENST00000024061
RB1CC1,ENST00000025008
AKAP11,ENST00000025301
STRAP,ENST00000419869
PLEKHO1,ENST00000369124
PIGQ,ENST00000026218
CDH17,ENST00000027335
RNASET2,ENST00000508775
B4GALT7,ENST00000029410
BCLAF1,ENST00000531224
SLC39A9,ENST00000336643
FAM13B,ENST00000033079
RANBP3,ENST00000340578
CHPF2,ENST00000035307
LRRC7,ENST00000035383
GABARAPL2,ENST00000037243
MYOC,ENST00000037502
FAM136A,ENST00000037869
NSMAF,ENST00000427130
OTC,ENST00000039007
TTC17,ENST00000039989
HOXC8,ENST00000040584
MRI1,ENST00000040663
BOD1L1,ENST00000040738
TARBP1,ENST00000040877
FAM65A,ENST00000422602
BEST2,ENST00000549706
RTN4R,ENST00000043402
PSMA4,ENST00000044462
FAM65C,ENST00000327979
SPATA7,ENST00000393545
ZPBP,ENST00000046087
CTNS,ENST00000381870
LCP2,ENST00000046794
ZFHX4,ENST00000521891
GOPC,ENST00000368498
DCN,ENST00000052754
TNFRSF17,ENST00000053243
MRPS10,ENST00000053468
GUCA1A,ENST00000394237
GRN,ENST00000053867
THAP3,ENST00000054650
VAMP3,ENST00000054666
UTS2,ENST00000054668
RCN1,ENST00000054950
RFC2,ENST00000055077
PPP1R3F,ENST00000055335
KIAA2022,ENST00000055682
ARHGEF5,ENST00000056217
NFE2L3,ENST00000056233
TNIP3,ENST00000509841
SIKE1,ENST00000369528
TLL1,ENST00000061240
NNAT,ENST00000062104
CBLN4,ENST00000064571
CLDN11,ENST00000064724
FAM168A,ENST00000356467
RELT,ENST00000064780
CDC27,ENST00000531206
PKP2,ENST00000070846
IL1RAP,ENST00000317757
YIPF1,ENST00000072644
ADCK2,ENST00000072869
INPP4A,ENST00000074304
SLC2A3,ENST00000075120
ENPP2,ENST00000259486
CTDP1,ENST00000299543
STYK1,ENST00000075503
GNA11,ENST00000078429
CREB3L3,ENST00000078445
PIGV,ENST00000374145
HDAC7,ENST00000080059
MRPS35,ENST00000081029
DNAH2,ENST00000572933
APPBP2,ENST00000083182
RPL18,ENST00000549920
CA11,ENST00000084798
ISOC2,ENST00000085068
EPN1,ENST00000411543
CD22,ENST00000085219
GSC2,ENST00000086933
ZFY,ENST00000155093
CECR5,ENST00000336737
KCNQ1,ENST00000155840
TRPM5,ENST00000155858
TRIB2,ENST00000155926
OTUD5,ENST00000156084
GPKOW,ENST00000156109
AQR,ENST00000156471
KLK13,ENST00000595793
KLK14,ENST00000391802
ST6GALNAC1,ENST00000156626
MBD3,ENST00000156825
LMCD1,ENST00000157600
PSMC4,ENST00000157812
FNDC8,ENST00000158009
C17orf85,ENST00000389005
CAMKK1,ENST00000158166
FAM50A,ENST00000393600
ACAP1,ENST00000158762
DERL2,ENST00000158771
NOX3,ENST00000159060
ANO8,ENST00000159087
KDM4B,ENST00000159111
PANX2,ENST00000395842
ICAM3,ENST00000160262
CAMSAP3,ENST00000446248
CTTNBP2,ENST00000160373
ACTL6B,ENST00000160382
FAM135B,ENST00000395297
CIC,ENST00000575354
KIF22,ENST00000160827
PRSS22,ENST00000161006
CEACAM1,ENST00000161559
YTHDC2,ENST00000161863
MEF2B,ENST00000162023
TMEM161A,ENST00000162044
BCAR1,ENST00000418647
FOXJ2,ENST00000162391
TNFRSF1A,ENST00000162749
GOLGA5,ENST00000163416
METTL22,ENST00000381920
CELSR3,ENST00000164024
PPP2R5B,ENST00000164133
PYGM,ENST00000164139
BCL3,ENST00000164227
KCNAB2,ENST00000378083
PIGB,ENST00000164305
PDZD4,ENST00000164640
PRLH,ENST00000165524
REEP1,ENST00000538924
FGF22,ENST00000215530
FSTL3,ENST00000166139
EPHA8,ENST00000166244
TRIP13,ENST00000166345
P4HA2,ENST00000401867
VASH1,ENST00000167106
PDCD2,ENST00000541970
LLGL2,ENST00000392550
KRT14,ENST00000167586
KRT20,ENST00000167588
ARHGEF10L,ENST00000361221
SPP2,ENST00000168148
HSD17B10,ENST00000168216
FGF4,ENST00000168712
RGS11,ENST00000397770
NMRK2,ENST00000168977
MASP1,ENST00000296280
ST6GAL1,ENST00000169298
TIMM21,ENST00000169551
CACNG5,ENST00000533854
BPIFB2,ENST00000170150
REXO1,ENST00000170168
MKRN2,ENST00000170447
GPATCH1,ENST00000170564
IL4R,ENST00000395762
RAPGEF3,ENST00000449771
KEAP1,ENST00000171111
RDH8,ENST00000591589
P2RY10,ENST00000171757
TNS1,ENST00000171887
NGFR,ENST00000172229
NEB,ENST00000397345
NTN1,ENST00000173229
ISOC1,ENST00000173527
TRO,ENST00000173898
MNT,ENST00000174618
TRPV1,ENST00000571088
AP3M2,ENST00000518421
LAPTM4A,ENST00000175091
ADAM7,ENST00000175238
ASNS,ENST00000175506
PTPN18,ENST00000175756
DRD4,ENST00000176183
SCT,ENST00000176195
ALDH3A2,ENST00000339618
STK10,ENST00000176763
ALPK1,ENST00000458497
TBX21,ENST00000177694
MRPS34,ENST00000397375
CA12,ENST00000178638
MAP2K5,ENST00000178640
C12orf5,ENST00000179259
BAZ2A,ENST00000551812
STXBP5,ENST00000321680
FGF20,ENST00000180166
MTMR7,ENST00000180173
CPB2,ENST00000181383
FAM107B,ENST00000181796
CDK13,ENST00000181839
CRYBG3,
TSPAN32,ENST00000182290
FAR2,ENST00000536681
TRAM2,ENST00000182527
CLDN18,ENST00000183605
ROPN1,ENST00000184183
NDUFB4,ENST00000184266
HEATR6,ENST00000184956
ERLEC1,ENST00000185150
CLIC5,ENST00000185206
ASAH2B,ENST00000374006
TMEM131,ENST00000186436
ARPP21,ENST00000458225
CEACAM21,ENST00000401445
TMEM38A,ENST00000187762
PVR,ENST00000425690
ZNF222,ENST00000391960
PSG6,ENST00000292125
ACTR6,ENST00000188312
SLC25A3,ENST00000228318
NR1H4,ENST00000551379
FAP,ENST00000188790
NFKB2,ENST00000369966
MUSK,ENST00000374448
DMRT3,ENST00000190165
OSBPL6,ENST00000392505
WISP2,ENST00000372868
CTSA,ENST00000372484
ANKRD16,ENST00000380094
GAL3ST2,ENST00000192314
UHRF1BP1,ENST00000192788
MOK,ENST00000361847
OSTM1,ENST00000193322
IMPG2,ENST00000193391
ACTN1,ENST00000394419
NAIP,ENST00000517649
KIAA0141,ENST00000432126
SLC13A1,ENST00000194130
PCDHB4,ENST00000194152
PCDHB2,ENST00000194155
HSPB11,ENST00000194214
STRADB,ENST00000194530
FAM135A,ENST00000418814
COBLL1,ENST00000342193
DLG3,ENST00000374360
SEMA5B,ENST00000451055
C4orf6,ENST00000195455
SNAP91,ENST00000439399
PLOD1,ENST00000196061
TDRD3,ENST00000535286
OXCT1,ENST00000196371
ZNF324,ENST00000536459
ZNF416,ENST00000196489
RPS5,ENST00000596046
KIAA1467,ENST00000197268
PILRA,ENST00000198536
CPNE3,ENST00000521271
RRN3,ENST00000198767
MOGAT2,ENST00000198801
CHERP,ENST00000546361
AQP2,ENST00000199280
DIMT1,ENST00000199320
EIF2AK1,ENST00000199389
NME8,ENST00000199447
EPDR1,ENST00000199448
MRPL28,ENST00000199706
HBQ1,ENST00000199708
CEACAM6,ENST00000199764
RBM22,ENST00000199814
HSD17B2,ENST00000199936
MAP2,ENST00000360351
ZW10,ENST00000200135
ITGB4,ENST00000200181
CCL7,ENST00000378569
PPP1R15A,ENST00000200453
TRIP6,ENST00000200457
ADAM11,ENST00000200557
LAMP2,ENST00000434600
SLC22A4,ENST00000200652
CETP,ENST00000200676
MT3,ENST00000200691
PTHLH,ENST00000395872
TFAP2C,ENST00000201031
SULT2B1,ENST00000201586
EPS8L1,ENST00000201647
CACNB4,ENST00000539935
C20orf112,ENST00000359676
DNMT3B,ENST00000328111
REM1,ENST00000201979
PDRG1,ENST00000202017
EPB41L1,ENST00000338074
PPP1R13B,ENST00000202556
SIGLEC1,ENST00000344754
TGM6,ENST00000202625
RALGAPA2,ENST00000202677
RPL6,ENST00000424576
ESF1,ENST00000202816
SLC8B1,ENST00000552014
TMEM230,ENST00000342308
OAS1,ENST00000445409
SIRT4,ENST00000202967
TRMT6,ENST00000203001
HAUS5,ENST00000203166
UQCRC1,ENST00000203407
GMIP,ENST00000203556
RBM41,ENST00000372479
LAG3,ENST00000203629
MLF2,ENST00000203630
OTUB2,ENST00000203664
LTBP4,
NDUFB2,ENST00000476279
TFAP4,ENST00000204517
PDCD7,ENST00000204549
SPG21,ENST00000204566
CHRD,ENST00000204604
THPO,ENST00000204615
FLT3LG,ENST00000594009
