#GENE	SYN_GERP
OR4F5	-0.3144786524822694
SAMD11	-1.2128703625592419
NOC2L	-2.0412774373259053
KLHL17	-1.4366225201072385
PLEKHN1	-1.7765672375690609
HES4	-0.4871925714285713
ISG15	-1.411979347826087
AGRN	-1.8913964563106795
RNF223	-2.144958536585366
C1orf159	-1.5625743801652896
TTLL10	-0.8217402266288951
TNFRSF18	-1.0930213422818793
TNFRSF4	-1.7276840490797547
SDF4	-1.667554054054054
B3GALT6	-0.6551776886792453
FAM132A	-1.269335051546392
UBE2J2	-1.8810206349206349
SCNN1D	-1.5487900423728813
ACAP3	-1.7779201421800948
PUSL1	-2.163518432432433
CPSF3L	-1.2031784300341297
GLTPD1	-1.5303644067796607
TAS1R3	-1.5713411293634496
DVL1	-1.4408620218579236
MXRA8	-1.5361248091603052
AURKAIP1	-1.3490619469026548
CCNL2	-2.107925187969925
MRPL20	-1.0757522388059702
ANKRD65	-1.9403572084805654
TMEM88B	-1.3838547619047619
VWA1	-0.8988625407166126
ATAD3C	-0.869203317535545
ATAD3B	-0.8798259365994237
ATAD3A	-1.8069441087613292
TMEM240	1.1911469135802468
SSU72	-0.4422689189189188
C1orf233	1.0741761635220124
MIB2	-0.9334310630914827
MMP23B	-0.9388290170940171
SLC35E2B	-3.1366710526315793
CDK11A	-1.3459035483870967
SLC35E2	-1.3095529032258066
NADK	-1.7945838607594935
GNB1	-0.7757573964497042
CALML6	-0.8452434782608697
TMEM52	-0.8405503649635037
GABRD	-1.2115833333333332
PRKCZ	-1.619715102040816
C1orf86	-1.8153868468468468
SKI	-0.4176062227602906
MORN1	-1.9389977323420073
RER1	-2.651763218390805
PEX10	-1.8925080808080808
PLCH2	-1.3423858800521513
PANK4	-1.733507952879581
HES5	-0.21416000000000007
TNFRSF14	-1.2448637162162164
FAM213B	-0.5006038759689923
MMEL1	-1.1505221971830986
TTC34	-1.5714315743440237
ACTRT2	-2.3656433862433865
PRDM16	-1.0159588764044944
ARHGEF16	-1.3416625
MEGF6	-1.4411749422336328
TPRG1L	-0.6670664335664338
WRAP73	-3.020421621621622
TP73	-1.1658889908256882
CCDC27	-1.9567973684210527
SMIM1	-0.3090628571428571
LRRC47	-1.7383265497076026
CEP104	-3.648817048346056
DFFB	-2.209184794520548
C1orf174	-3.910445081967213
AJAP1	-0.9368786008230452
NPHP4	-2.566942763496144
KCNAB2	-0.17592660098522167
CHD5	-0.574708723150358
RPL22	-2.4599444444444445
RNF207	-0.6619387419354839
ICMT	-0.38641089743589746
HES3	-1.4585687500000002
GPR153	-0.2731189258312021
ACOT7	-1.0940673469387756
HES2	-0.8088816666666666
ESPN	-0.3254306324110671
TNFRSF25	-0.5928959677419354
PLEKHG5	-0.7596598423817863
NOL9	-2.1241591304347827
TAS1R1	-0.9808305034324944
ZBTB48	-1.0345427672955976
KLHL21	0.30585205202312143
PHF13	-1.5704343283582092
THAP3	-2.401752212389381
DNAJC11	-1.9731617760617761
CAMTA1	0.09491102661596952
VAMP3	-1.8254
PER3	-1.9442787085514834
UTS2	-1.838456140350877
TNFRSF9	-3.263223684210527
PARK7	-2.3092
ERRFI1	-4.354699122807017
SLC45A1	-1.240341204819277
RERE	-1.9855248192771084
ENO1	-2.0629038095238093
CA6	-2.9733108108108106
SLC2A7	-1.782319914965986
SLC2A5	-2.3275855555555554
GPR157	-1.229524351851852
H6PD	-1.3724188190954776
SPSB1	-0.48716896551724137
SLC25A33	-0.3265987654320987
TMEM201	-1.021405076142132
PIK3CD	-0.5968360721442887
CLSTN1	-2.441421123595506
CTNNBIP1	0.11523076923076928
LZIC	0.7932291666666668
NMNAT1	-2.3063839285714285
RBP7	0.3463744186046512
UBE4B	-0.8459759472817133
KIF1B	-0.1189731472081218
PGD	-2.6826404545454547
APITD1	-2.3021818181818183
APITD1-CORT	-2.3021818181818183
CORT	-1.3938500000000003
DFFA	-2.2962194968553455
PEX14	-0.8989010695187163
CASZ1	-0.14267364425162687
C1orf127	-1.6304848
TARDBP	-1.60542
MASP2	-1.8787234939759039
SRM	-0.7087076923076923
EXOSC10	-2.4859905540897103
MTOR	-0.4328734514767932
ANGPTL7	-0.8779629370629368
UBIAD1	-0.2790010810810811
PTCHD2	-0.44949366925064604
FBXO2	-0.2206631944444445
FBXO44	-0.7705347826086956
FBXO6	-2.2240343065693433
MAD2L2	-0.09232577319587626
DRAXIN	-1.2493175531914895
