GENE	synRVIS	synRVIS.centile	synRVIS_RSCU	synRVIS_RSCU.centile	synGERP	synGERP.centile
A1BG	-0.57	0.21	-0.62	0.19	-2.4	0.94
A1CF	0.54	0.76	1.33	0.91	-0.59	0.46
A2M	-0.2	0.58	-1.56	0.02	-0.88	0.57
A2ML1	-0.53	0.25	-0.86	0.09	-0.61	0.47
A3GALT2	-0.15	0.64	-0.17	0.59	0.46	0.16
A4GALT	0.6	0.77	0.35	0.72	-1.45	0.77
A4GNT	-0.45	0.32	0.56	0.78	-1.41	0.75
AAAS	0.6	0.77	0.36	0.72	-0.49	0.43
AACS	1.85	0.95	1.42	0.92	-2.24	0.92
AADAC	0.75	0.82	-0.53	0.25	-2.9	0.97
AADACL2	-0.46	0.31	-0.5	0.28	-2.83	0.97
AADACL3	0.68	0.8	0.44	0.74	-3.26	0.99
AADACL4	1.97	0.96	1.54	0.93	-2.42	0.94
AADAT	-0.41	0.36	-0.45	0.32	-0.99	0.62
AAED1	-0.14	0.64	-0.16	0.6	-0.11	0.3
AAGAB	-0.39	0.39	-0.42	0.35	-0.97	0.61
AAK1	-0.88	0.08	0.09	0.66	0.95	0.09
AAMDC	-0.18	0.61	0.84	0.87	0.73	0.12
AAMP	-0.64	0.17	-0.69	0.15	-0.12	0.3
AANAT	-0.27	0.51	-0.29	0.47	-0.65	0.49
AAR2	-0.53	0.25	-0.58	0.22	-1	0.62
AARD	-0.22	0.57	-0.24	0.52	-0.62	0.48
AARS	-0.06	0.68	-0.36	0.41	-0.9	0.58
AARS2	0.12	0.69	0.88	0.87	-0.46	0.42
AASDH	-1	0.06	-1.09	0.05	-0.73	0.52
AASDHPPT	-0.34	0.43	-0.37	0.39	0.31	0.19
AASS	-0.92	0.07	-1	0.06	-1.01	0.62
AATF	-0.71	0.14	0.28	0.7	0.61	0.14
AATK	-0.78	0.11	0.2	0.68	-2.24	0.92
ABAT	4.27	0.99	3.44	0.99	-0.93	0.59
ABCA1	4.54	1	1.07	0.89	-0.1	0.3
ABCA10	-0.16	0.62	0.57	0.79	-1.78	0.85
ABCA12	0.76	0.82	-1.1	0.05	-0.46	0.42
ABCA13	1.55	0.93	-0.83	0.1	-2.15	0.91
ABCA2	-0.75	0.12	0.69	0.83	-1.22	0.69
ABCA3	-1.35	0.02	-0.7	0.15	-2.35	0.93
ABCA4	-2.86	0	-1	0.06	-0.81	0.55
ABCA5	-1.34	0.03	-0.41	0.36	0.33	0.19
ABCA6	-0.11	0.66	0.63	0.81	-0.9	0.58
ABCA7	1.24	0.91	-0.58	0.21	-2	0.89
ABCA8	0.9	0.87	0.39	0.73	-1.61	0.81
ABCA9	-1.64	0.01	-0.73	0.14	-1.29	0.72
ABCB1	-1.47	0.02	-0.55	0.24	-0.69	0.5
ABCB10	0.56	0.76	-0.74	0.13	-1.98	0.89
ABCB11	3.43	0.99	5.67	1	-0.2	0.33
ABCB4	1.04	0.9	-0.51	0.27	-0.69	0.5
ABCB5	-1.41	0.02	-0.48	0.3	-0.35	0.38
ABCB6	0.03	0.68	-0.26	0.51	-0.51	0.44
ABCB7	1.84	0.95	1.4	0.92	1.16	0.07
ABCB8	-0.93	0.07	-1.01	0.06	-0.6	0.47
ABCB9	-0.78	0.11	-0.84	0.1	0.03	0.26
ABCC1	-1.2	0.03	-0.55	0.24	-1.59	0.8
ABCC10	-1.97	0.01	-2.13	0.01	-0.11	0.3
ABCC11	-0.65	0.17	0.05	0.65	-2.01	0.89
ABCC12	-0.29	0.49	-1.65	0.01	-1.17	0.68
ABCC2	1.94	0.95	2.26	0.97	-0.18	0.32
ABCC3	-0.21	0.58	1.57	0.94	-0.89	0.58
ABCC4	2.04	0.96	2.37	0.97	-2.17	0.91
ABCC5	-0.51	0.26	-0.85	0.1	-0.45	0.41
ABCC6	0.71	0.8	2.27	0.97	-1.26	0.71
ABCC8	1.71	0.94	4.11	0.99	-0.04	0.28
ABCC9	-0.58	0.21	-1.96	0.01	-1.24	0.7
ABCD1	0.67	0.79	0.43	0.74	-0.95	0.6
ABCD2	0.52	0.75	-0.77	0.12	0.21	0.21
ABCD3	-0.75	0.13	-0.81	0.11	1.2	0.07
ABCD4	3.08	0.99	2.45	0.98	-0.13	0.31
ABCE1	-0.53	0.25	-0.58	0.22	0.94	0.1
ABCF1	-0.91	0.08	-0.99	0.07	-1.02	0.63
ABCF2	2.78	0.98	2.13	0.96	0	0.27
ABCF3	0.28	0.71	0.01	0.65	-0.72	0.51
ABCG1	-0.98	0.06	-0.02	0.64	-1.61	0.81
ABCG2	0.59	0.77	-0.7	0.15	-1.53	0.79
ABCG4	0.33	0.72	0.06	0.66	0.21	0.21
ABCG5	-0.82	0.1	-0.89	0.09	-0.88	0.58
ABCG8	1.42	0.92	0.95	0.88	-1.18	0.68
ABHD1	-0.46	0.31	-0.5	0.28	-0.33	0.37
ABHD10	-0.42	0.35	-0.46	0.32	-0.92	0.59
ABHD11	-0.39	0.38	-0.43	0.34	-1.25	0.7
ABHD12	0.74	0.82	0.51	0.77	-0.92	0.59
ABHD12B	-0.28	0.51	-0.3	0.46	-1.37	0.74
ABHD13	-0.4	0.37	-0.44	0.33	-2.51	0.95
ABHD14A	-0.21	0.58	-0.23	0.54	0.05	0.25
ABHD14B	-0.2	0.59	-0.22	0.54	-0.35	0.38
ABHD15	-0.65	0.17	-0.7	0.15	-0.43	0.41
ABHD16A	0.72	0.81	0.48	0.76	0.32	0.19
ABHD16B	-0.28	0.51	-0.3	0.46	-1.98	0.89
ABHD17A	-0.43	0.34	-0.47	0.3	-1.39	0.75
ABHD17B	-0.47	0.3	-0.51	0.27	1.24	0.07
ABHD17C	-0.34	0.44	-0.37	0.4	-0.96	0.6
ABHD2	1.81	0.94	1.37	0.91	-0.42	0.4
ABHD3	-0.34	0.44	-0.37	0.4	-0.69	0.5
ABHD4	-0.5	0.28	0.5	0.76	-0.34	0.37
ABHD5	0.8	0.83	-0.48	0.3	-1.63	0.81
ABHD6	-0.47	0.3	-0.52	0.27	-1.43	0.76
ABHD8	0.57	0.76	1.37	0.91	-2.65	0.96
ABI1	-0.65	0.17	-0.71	0.15	2.16	0.02
ABI2	-0.51	0.26	-0.56	0.23	1.26	0.06
ABI3	-0.36	0.41	-0.39	0.37	-1.61	0.81
ABI3BP	-0.79	0.11	-0.86	0.09	0.58	0.14
ABL1	0.67	0.79	0.14	0.67	-1.66	0.82
ABL2	-0.26	0.53	-0.57	0.22	0.33	0.19
ABLIM1	-0.94	0.07	0.02	0.65	-0.15	0.31
ABLIM2	0.44	0.74	-0.87	0.09	-0.89	0.58
ABLIM3	0.48	0.74	0.23	0.69	0.82	0.11
ABR	0.01	0.68	0.76	0.85	0.4	0.18
ABRA	-0.58	0.21	0.41	0.74	-1.87	0.86
ABRACL	-0.14	0.65	-0.15	0.6	-0.78	0.54
ABT1	1.99	0.96	0.52	0.77	-2.01	0.89
ABTB1	0.62	0.78	0.38	0.72	-0.75	0.53
ABTB2	0.26	0.71	-0.01	0.64	-0.16	0.32
ACAA1	-0.45	0.32	-0.49	0.29	-1.01	0.62
ACAA2	-0.39	0.39	-0.42	0.35	-1.48	0.77
ACACA	0	0.68	-1.63	0.01	0.76	0.12
ACACB	-2.12	0.01	3.7	0.99	-1.61	0.81
ACAD10	-1.35	0.02	-1.46	0.02	-1.61	0.81
ACAD11	0.4	0.73	-0.91	0.08	-1.01	0.62
ACAD8	-0.48	0.29	-0.52	0.26	-1.32	0.72
ACAD9	0.35	0.72	-0.96	0.07	-1.63	0.81
ACADL	-0.41	0.36	-0.44	0.33	-0.45	0.41
ACADM	-0.41	0.36	-0.44	0.33	0.18	0.22
ACADS	0.6	0.77	0.35	0.72	-0.75	0.53
ACADSB	-0.45	0.32	-0.49	0.28	-2.32	0.93
ACADVL	-0.77	0.12	-0.83	0.1	-0.33	0.37
ACAN	4.94	1	2.54	0.98	-1.02	0.62
ACAP1	0.43	0.73	1.21	0.9	-0.84	0.56
ACAP2	1.74	0.94	-0.79	0.11	0.43	0.17
ACAP3	-0.81	0.1	-0.88	0.09	-1.78	0.85
ACAT1	-0.45	0.32	-0.49	0.28	-1.56	0.79
ACAT2	2.03	0.96	-0.48	0.3	-2.8	0.97
ACBD3	-0.53	0.25	-0.58	0.22	0.48	0.16
ACBD4	-0.26	0.53	-0.28	0.49	0.4	0.18
ACBD5	3.04	0.98	1.37	0.91	-0.1	0.3
ACBD6	-0.37	0.4	-0.41	0.36	-0.08	0.29
